metric_key,canonical_metric_key,dimension,subcomponent,metric_weight,source_priority,merge_strategy,enabled,diagnostic_only,required,macro_enabled,local_enabled,notes
laus_unemployment,unemployment_count,demand,unemployment,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only; unemployment rate is the v1 scoring metric.
laus_unemployment_rate,laus_unemployment_rate,demand,unemployment,0.1667,1,primary_else_fallback,true,false,true,true,true,Preferred unemployment rate where available.

fred_unemployment_rate,fred_unemployment_rate,demand,unemployment,0.0,2,primary_else_fallback,false,true,false,true,false,Fallback national/state unemployment rate.

ces_total_nonfarm,employment,demand,employment,0.1667,1,primary_else_fallback,true,false,true,true,false,CES total nonfarm preferred where available.
ces_total_private,total_private_employment,demand,employment,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only in v1; total nonfarm is preferred CES employment signal.
ces_construction,construction_employment,supply,construction_activity,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only until C3.02 Supply Dimension is updated to include construction activity.

bps_total_units,permit_activity,supply,permit_activity,0.3333,1,direct,true,false,true,true,true,
bps_total_buildings,permit_buildings,supply,permit_activity,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only in v1.
bps_total_value,permit_value,supply,permit_activity,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only in v1.
bps_1_unit,single_family_permit_activity,supply,permit_activity,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only in v1; total units is the scoring signal.
bps_5plus_units,multifamily_permit_activity,supply,permit_activity,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only in v1; total units is the scoring signal.

nrc_housing_starts,housing_starts,supply,construction_activity,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only until C3.02 Supply Dimension is updated to include starts.
nrc_housing_completions,housing_completions,supply,construction_activity,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only until C3.02 Supply Dimension is updated to include completions.

fred_mortgage_30y,mortgage_30y,capital_markets,cost_of_capital,0.35,1,direct,true,false,true,true,false,
fred_mortgage_15y,mortgage_15y,capital_markets,cost_of_capital,0.05,1,direct,true,false,false,true,false,Secondary cost-of-capital signal.
fred_fedfunds,fedfunds,capital_markets,cost_of_capital,0.15,1,direct,true,false,true,true,false,
fred_10y,treasury_10y,capital_markets,cost_of_capital,0.15,1,direct,true,false,true,true,false,
fred_2y,treasury_2y,capital_markets,cost_of_capital,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only; contributes through 2Y-10Y spread in v1.
fred_2y10y_spread,spread_2y10y,capital_markets,yield_curve_conditions,0.2,1,direct,true,false,true,true,false,
fred_10y_fedfunds_spread,spread_10y_fedfunds,capital_markets,yield_curve_conditions,0.1,1,direct,true,false,false,true,false,Secondary yield-curve signal.
fred_cpi,cpi,affordability,inflation_pressure,0.0,1,diagnostic_only,false,true,false,false,false,Diagnostic only; affordability v1 should use derived price-to-income and payment-burden metrics.

derived_price_to_income,price_to_income,affordability,price_to_income,0.50,1,direct,true,false,true,true,true,Derived affordability metric
derived_payment_burden,payment_burden,affordability,payment_burden,0.50,1,direct,true,false,true,true,true,Derived affordability metric
derived_permit_intensity,permit_intensity,supply,permit_intensity,0.3333,1,direct,true,false,true,true,true,Derived supply metric
